sep = ;
Module;Occurance;Activity;Week;Day;Module Tutor;Room;Target;Actual;Pro Forma
WIA2004 - OPERATING SYSTEMS;6;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;FAZIDAH BINTI OTHMAN;Dewan Kuliah 2 FSKTM (280);24;0;LINK
WIA2004 - OPERATING SYSTEMS;7;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 1:00 PM - 3:00 PM;MUHAMMAD NUR FIRDAUS BIN SAHRAN;Makmal Mikro 6 FSKTM (45);45;0;LINK
WIA2004 - OPERATING SYSTEMS;7;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;FAZIDAH BINTI OTHMAN;Dewan Kuliah 2 FSKTM (280);45;0;LINK
WIA2004 - OPERATING SYSTEMS;8;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 4:00 PM - 6:00 PM;POR LIP YEE @ POR KHOON SUN;Makmal Mikro 2 FSKTM (37);24;0;LINK
WIA2004 - OPERATING SYSTEMS;8;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;FAZIDAH BINTI OTHMAN;Dewan Kuliah 2 FSKTM (280);24;0;LINK
WIA2004 - OPERATING SYSTEMS;9;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 1:00 PM - 3:00 PM;FAZIDAH BINTI OTHMAN;Makmal Mikro 2 FSKTM (37);24;1;LINK
WIA2004 - OPERATING SYSTEMS;9;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;FAZIDAH BINTI OTHMAN;Dewan Kuliah 2 FSKTM (280);24;1;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 9:00 AM - 11:00 AM;HAZRINA BINTI SOFIAN;Makmal Mikro 3 FSKTM (60);60;0;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 11:00 AM - 1:00 PM;HAZRINA BINTI SOFIAN;Dewan Kuliah 1 FSKTM (280);60;0;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;1RL;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 12:00 PM - 2:00 PM;NUR NASUHA BINTI MOHD DAUD;N/A;5;1;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;1RL;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 11:00 AM - 1:00 PM;HAZRINA BINTI SOFIAN;N/A;5;1;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;2;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Friday 3:00 PM - 5:00 PM;HEMA A/P SUBRAMANIAM;Makmal Mikro 1 FSKTM (50);50;0;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;2;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 11:00 AM - 1:00 PM;HAZRINA BINTI SOFIAN;Dewan Kuliah 1 FSKTM (280);50;0;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;3;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 12:00 PM - 2:00 PM;NUR NASUHA BINTI MOHD DAUD;Makmal Mikro 2 FSKTM (37);24;3;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;3;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 11:00 AM - 1:00 PM;HAZRINA BINTI SOFIAN;Dewan Kuliah 1 FSKTM (280);24;3;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;4;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 9:00 AM - 11:00 AM;NUR NASUHA BINTI MOHD DAUD;Makmal Mikro 1 FSKTM (50);50;0;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;4;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 11:00 AM - 1:00 PM;HAZRINA BINTI SOFIAN;Dewan Kuliah 1 FSKTM (280);50;0;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;5;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 9:00 AM - 11:00 AM;ASMIZA BINTI ABDUL SANI;Makmal Mikro 4 FSKTM (60);60;0;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;5;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 11:00 AM - 1:00 PM;ASMIZA BINTI ABDUL SANI;Dewan Kuliah 2 FSKTM (280);60;0;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;6;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 4:00 PM - 6:00 PM;RAJA JAMILAH BINTI RAJA YUSOF;Bilik Kuliah 2 FSKTM (50);40;1;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;6;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 11:00 AM - 1:00 PM;ASMIZA BINTI ABDUL SANI;Dewan Kuliah 2 FSKTM (280);40;1;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;7;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 12:00 PM - 2:00 PM;ASMIZA BINTI ABDUL SANI;Makmal Lanjutan FSKTM (33);30;1;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;7;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 11:00 AM - 1:00 PM;ASMIZA BINTI ABDUL SANI;Dewan Kuliah 2 FSKTM (280);30;1;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;8;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 1:00 PM - 3:00 PM;RAJA JAMILAH BINTI RAJA YUSOF;Bilik Kuliah 2 FSKTM (50);40;0;LINK
WIA2005 - ALGORITHM DESIGN AND ANALYSIS;8;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 11:00 AM - 1:00 PM;ASMIZA BINTI ABDUL SANI;Dewan Kuliah 2 FSKTM (280);40;0;LINK
WIA2008 - ADVANCED NETWORK TECHNOLOGY;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;MUHAMMAD NUR FIRDAUS BIN SAHRAN;Makmal CCNA FSKTM (40) (EXAM);40;0;LINK
WIA2008 - ADVANCED NETWORK TECHNOLOGY;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Friday 10:00 AM - 12:00 PM;MUHAMMAD NUR FIRDAUS BIN SAHRAN;Makmal CCNA FSKTM (40);40;0;LINK
WIA2009 - DIGITAL DESIGN AND HARDWARE DESCRIPTION LANGUAGE;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 10:00 AM - 12:00 PM;NOORZAILY BIN MOHAMED NOOR;Makmal Lanjutan FSKTM (33);30;1;LINK
WIA2009 - DIGITAL DESIGN AND HARDWARE DESCRIPTION LANGUAGE;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 9:00 AM - 10:00 AM;NOORZAILY BIN MOHAMED NOOR;Makmal Lanjutan FSKTM (33);30;1;LINK
WIA3001 - INDUSTRIAL TRAINING;1;LECTURE;N/A;N/A;HOO WAI LAM AZNUL QALID BIN MD SABRI
CHAN CHEE SENG
ERMA RAHAYU BINTI MOHD FAIZAL ABDULLAH
LIM CHEE KAU
LOO CHU KIONG
MUHAMMAD SHAHREEZA SAFIRUZ BIN KASSIM
NORISMA BINTI IDRIS
ROHANA BINTI MAHMUD
SITI SORAYA BINTI ABDUL RAHMAN
ZATI HAKIM BINTI AZIZUL HASAN
SAW SHIER NEE
NURUL BINTI JAPAR
Liew Shiung
ASMIZA BINTI ABDUL SANI
ADELEH ASEMI ZAVAREH
CHIEW THIAM KIAN
CHIAM YIN KIA
HAZRINA BINTI SOFIAN
HEMA A/P SUBRAMANIAM
MUMTAZ BEGUM BINTI PEER MUSTAFA
ONG SIM YING
RODINA BINTI AHMAD
RAJA JAMILAH BINTI RAJA YUSOF
SITI HAFIZAH BINTI AB HAMID
SU MOON TING
NUR NASUHA BINTI MOHD DAUD
MOHAMAD HAZIM BIN MD HANIF
AMIRRUDIN BIN KAMSIN
AINUDDIN WAHID BIN ABDUL WAHAB
HANNYZZURA BINTI PAL @ AFFAL
MAS IDAYU BINTI MD SABRI
MOHAMAD NIZAM BIN AYUB
NOR ANIZA BINTI ABDULLAH
NORNAZLITA BINTI HUSSIN
NURUL FAZMIDAR BINTI MOHD NOOR
AZAH ANIR BINTI NORMAN
KASTURI DEWI A/P VARATHAN
MAIZATUL AKMAR BINTI ISMAIL
NORJIHAN BINTI ABDUL GHANI
NOR LIYANA BT MOHD SHUIB
RIYAZ AHAMED ARIYALURAN HABEEB MOHAMED
SRI DEVI A/P RAVANA
SURAYA BINTI HAMID
VIMALA A/P BALAKRISHNAN
MOHD SHAHRUL NIZAM BIN MOHD DANURI
TUTUT HERAWAN
ANG TAN FONG
EMRAN BIN MOHD TAMIL
FAZIDAH BINTI OTHMAN
ISMAIL BIN AHMEDY
LIEW CHEE SUN
LING TECK CHAW
MISS LAIHA BINTI MAT KIAH
MOHD YAMANI IDNA BIN IDRIS
NOR BADRUL ANUAR BIN JUMA'AT
MUHAMMAD NUR FIRDAUS BIN SAHRAN
BRYAN RAJ A/L PETER JABARAJ
Burhan Khan
NOORZAILY BIN MOHAMED NOOR
POR LIP YEE @ POR KHOON SUN
RAFIDAH BINTI MD NOOR
ROSLI BIN SALLEH
SAAIDAL RAZALLI BIN AZZUHRI
SUZAN JABBAR OBAIYS
MUHAMMAD FAIZ BIN MOHD ZAKI;N/A;999;2;LINK
WIA3002 - ACADEMIC PROJECT I;1;LECTURE;N/A;N/A;HANNYZZURA BINTI PAL @ AFFAL AZNUL QALID BIN MD SABRI
CHAN CHEE SENG
ERMA RAHAYU BINTI MOHD FAIZAL ABDULLAH
LIM CHEE KAU
LOO CHU KIONG
MUHAMMAD SHAHREEZA SAFIRUZ BIN KASSIM
NORISMA BINTI IDRIS
ROHANA BINTI MAHMUD
SITI SORAYA BINTI ABDUL RAHMAN
UNAIZAH HANUM BINTI OBAIDELLAH
ZATI HAKIM BINTI AZIZUL HASAN
SAW SHIER NEE
NURUL BINTI JAPAR
Liew Shiung
ASMIZA BINTI ABDUL SANI
ADELEH ASEMI ZAVAREH
CHIEW THIAM KIAN
CHIAM YIN KIA
HAZRINA BINTI SOFIAN
HEMA A/P SUBRAMANIAM
MUMTAZ BEGUM BINTI PEER MUSTAFA
NAZEAN BINTI JOMHARI
ONG SIM YING
RODINA BINTI AHMAD
RAJA JAMILAH BINTI RAJA YUSOF
SITI HAFIZAH BINTI AB HAMID
SU MOON TING
NUR NASUHA BINTI MOHD DAUD
MOHAMAD HAZIM BIN MD HANIF
AMIRRUDIN BIN KAMSIN
AINUDDIN WAHID BIN ABDUL WAHAB
MAS IDAYU BINTI MD SABRI
MOHAMAD NIZAM BIN AYUB
NOR ANIZA BINTI ABDULLAH
NORNAZLITA BINTI HUSSIN
NURUL FAZMIDAR BINTI MOHD NOOR
AZAH ANIR BINTI NORMAN
HOO WAI LAM
KASTURI DEWI A/P VARATHAN
MAIZATUL AKMAR BINTI ISMAIL
NORJIHAN BINTI ABDUL GHANI
NOR LIYANA BT MOHD SHUIB
RIYAZ AHAMED ARIYALURAN HABEEB MOHAMED
SRI DEVI A/P RAVANA
SURAYA BINTI HAMID
TEH YING WAH
VIMALA A/P BALAKRISHNAN
MOHD SHAHRUL NIZAM BIN MOHD DANURI
TUTUT HERAWAN
ANG TAN FONG
EMRAN BIN MOHD TAMIL
FAZIDAH BINTI OTHMAN
ISMAIL BIN AHMEDY
LIEW CHEE SUN
LING TECK CHAW
MISS LAIHA BINTI MAT KIAH
MOHD YAMANI IDNA BIN IDRIS
NOR BADRUL ANUAR BIN JUMA'AT
MUHAMMAD NUR FIRDAUS BIN SAHRAN
BRYAN RAJ A/L PETER JABARAJ
Burhan Khan
NOORZAILY BIN MOHAMED NOOR
POR LIP YEE @ POR KHOON SUN
RAFIDAH BINTI MD NOOR
ROSLI BIN SALLEH
SAAIDAL RAZALLI BIN AZZUHRI
TEY KOK SOON
SUZAN JABBAR OBAIYS
MUHAMMAD FAIZ BIN MOHD ZAKI;N/A;999;86;LINK
WIA3003 - ACADEMIC PROJECT II;1;LECTURE;N/A;N/A;HANNYZZURA BINTI PAL @ AFFAL AZNUL QALID BIN MD SABRI
CHAN CHEE SENG
ERMA RAHAYU BINTI MOHD FAIZAL ABDULLAH
LIM CHEE KAU
LOO CHU KIONG
MUHAMMAD SHAHREEZA SAFIRUZ BIN KASSIM
NORISMA BINTI IDRIS
ROHANA BINTI MAHMUD
SITI SORAYA BINTI ABDUL RAHMAN
UNAIZAH HANUM BINTI OBAIDELLAH
ZATI HAKIM BINTI AZIZUL HASAN
SAW SHIER NEE
NURUL BINTI JAPAR
Liew Shiung
ASMIZA BINTI ABDUL SANI
ADELEH ASEMI ZAVAREH
CHIEW THIAM KIAN
CHIAM YIN KIA
HAZRINA BINTI SOFIAN
HEMA A/P SUBRAMANIAM
MUMTAZ BEGUM BINTI PEER MUSTAFA
NAZEAN BINTI JOMHARI
ONG SIM YING
RODINA BINTI AHMAD
RAJA JAMILAH BINTI RAJA YUSOF
SITI HAFIZAH BINTI AB HAMID
SU MOON TING
NUR NASUHA BINTI MOHD DAUD
MOHAMAD HAZIM BIN MD HANIF
AMIRRUDIN BIN KAMSIN
AINUDDIN WAHID BIN ABDUL WAHAB
MAS IDAYU BINTI MD SABRI
MOHAMAD NIZAM BIN AYUB
NOR ANIZA BINTI ABDULLAH
NORNAZLITA BINTI HUSSIN
NURUL FAZMIDAR BINTI MOHD NOOR
AZAH ANIR BINTI NORMAN
HOO WAI LAM
KASTURI DEWI A/P VARATHAN
MAIZATUL AKMAR BINTI ISMAIL
NORJIHAN BINTI ABDUL GHANI
NOR LIYANA BT MOHD SHUIB
RIYAZ AHAMED ARIYALURAN HABEEB MOHAMED
SRI DEVI A/P RAVANA
SURAYA BINTI HAMID
TEH YING WAH
VIMALA A/P BALAKRISHNAN
MOHD SHAHRUL NIZAM BIN MOHD DANURI
TUTUT HERAWAN
ANG TAN FONG
EMRAN BIN MOHD TAMIL
FAZIDAH BINTI OTHMAN
ISMAIL BIN AHMEDY
LIEW CHEE SUN
LING TECK CHAW
MISS LAIHA BINTI MAT KIAH
MOHD YAMANI IDNA BIN IDRIS
NOR BADRUL ANUAR BIN JUMA'AT
MUHAMMAD NUR FIRDAUS BIN SAHRAN
BRYAN RAJ A/L PETER JABARAJ
Burhan Khan
NOORZAILY BIN MOHAMED NOOR
POR LIP YEE @ POR KHOON SUN
RAFIDAH BINTI MD NOOR
ROSLI BIN SALLEH
SAAIDAL RAZALLI BIN AZZUHRI
TEY KOK SOON
SUZAN JABBAR OBAIYS
MUHAMMAD FAIZ BIN MOHD ZAKI;N/A;999;8;LINK
WIB3001 - INDUSTRIAL TRAINING;1;LECTURE;N/A;N/A;HOO WAI LAM AMIRRUDIN BIN KAMSIN
AINUDDIN WAHID BIN ABDUL WAHAB
HANNYZZURA BINTI PAL @ AFFAL
MAS IDAYU BINTI MD SABRI
MOHAMAD NIZAM BIN AYUB
NOR ANIZA BINTI ABDULLAH
NORNAZLITA BINTI HUSSIN
NURUL FAZMIDAR BINTI MOHD NOOR
SUZAN JABBAR OBAIYS;N/A;999;1;LINK
WIB3002 - ACADEMIC PROJECT I;1;LECTURE;N/A;N/A;HANNYZZURA BINTI PAL @ AFFAL AMIRRUDIN BIN KAMSIN
AINUDDIN WAHID BIN ABDUL WAHAB
MAS IDAYU BINTI MD SABRI
MOHAMAD NIZAM BIN AYUB
NOR ANIZA BINTI ABDULLAH
NORNAZLITA BINTI HUSSIN
NURUL FAZMIDAR BINTI MOHD NOOR
SUZAN JABBAR OBAIYS;N/A;999;0;LINK
WIB3003 - ACADEMIC PROJECT II;1;LECTURE;N/A;N/A;HANNYZZURA BINTI PAL @ AFFAL AMIRRUDIN BIN KAMSIN
AINUDDIN WAHID BIN ABDUL WAHAB
MAS IDAYU BINTI MD SABRI
MOHAMAD NIZAM BIN AYUB
NOR ANIZA BINTI ABDULLAH
NORNAZLITA BINTI HUSSIN
NURUL FAZMIDAR BINTI MOHD NOOR
SUZAN JABBAR OBAIYS;N/A;999;0;LINK
WIC2001 - ADVANCED NETWORK TECHNOLOGY;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;MUHAMMAD NUR FIRDAUS BIN SAHRAN;Makmal CCNA FSKTM (40);5;1;LINK
WIC2001 - ADVANCED NETWORK TECHNOLOGY;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Friday 10:00 AM - 12:00 PM;MUHAMMAD NUR FIRDAUS BIN SAHRAN;Makmal CCNA FSKTM (40);5;1;LINK
WIC2002 - NETWORK SECURITY;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Friday 3:00 PM - 5:00 PM;ROSLI BIN SALLEH;Makmal CCNA FSKTM (40);40;4;LINK
WIC2002 - NETWORK SECURITY;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 1:00 PM;ROSLI BIN SALLEH;Makmal CCNA FSKTM (40);40;4;LINK
WIC2003 - DIGITAL DESIGN AND HARDWARE DESCRIPTION LANGUAGE;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 10:00 AM - 12:00 PM;NOORZAILY BIN MOHAMED NOOR;Makmal Lanjutan FSKTM (33);7;1;LINK
WIC2003 - DIGITAL DESIGN AND HARDWARE DESCRIPTION LANGUAGE;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 9:00 AM - 10:00 AM;NOORZAILY BIN MOHAMED NOOR;Makmal Lanjutan FSKTM (33);7;1;LINK
WIC2006 - DIGITAL FORENSIC;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 2:00 PM - 4:00 PM;Burhan Khan;Makmal Mikro 4 FSKTM (60);40;8;LINK
WIC2006 - DIGITAL FORENSIC;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 11:00 AM - 12:00 PM;Burhan Khan;Makmal Stroustrup FSKTM (30);40;8;LINK
WIC2007 - CYBER SECURITY;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 4:00 PM - 6:00 PM;MUHAMMAD FAIZ BIN MOHD ZAKI;Makmal Mikro 4 FSKTM (60);60;10;LINK
WIC2007 - CYBER SECURITY;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Friday 9:00 AM - 10:00 AM;MUHAMMAD FAIZ BIN MOHD ZAKI;Makmal Mikro 4 FSKTM (60);60;10;LINK
WIC2008 - INTERNET OF THINGS;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 3:00 PM - 6:00 PM;MOHD YAMANI IDNA BIN IDRIS;Makmal Mikro 4 FSKTM (60);60;51;LINK
WIC2008 - INTERNET OF THINGS;1RL;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 3:00 PM - 6:00 PM;EMRAN BIN MOHD TAMIL;N/A;5;2;LINK
WIC2008 - INTERNET OF THINGS;2;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 3:00 PM - 6:00 PM;EMRAN BIN MOHD TAMIL;Makmal Stroustrup FSKTM (30);40;40;LINK
WIC3001 - MATHEMATICS IN NETWORKING;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 1:00 PM - 3:00 PM;ISMAIL BIN AHMEDY;Makmal Mikro 6 FSKTM (45);50;19;LINK
WIC3001 - MATHEMATICS IN NETWORKING;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Friday 11:00 AM - 12:00 PM;ISMAIL BIN AHMEDY;Makmal Mikro 4 FSKTM (60);50;19;LINK
WIC3003 - EMBEDDED SYSTEM PROGRAMMING;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Friday 3:00 PM - 6:00 PM;EMRAN BIN MOHD TAMIL;Makmal Mikro 4 FSKTM (60);50;14;LINK
WIC3006 - MOBILE COMPUTING;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;BRYAN RAJ A/L PETER JABARAJ;Makmal Mikro 3 FSKTM (60);50;25;LINK
WIC3006 - MOBILE COMPUTING;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 4:00 PM - 5:00 PM;BRYAN RAJ A/L PETER JABARAJ;Makmal Mikro 1 FSKTM (50);50;25;LINK
WIC3006 - MOBILE COMPUTING;1M;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 3:00 PM - 5:00 PM;BRYAN RAJ A/L PETER JABARAJ;Makmal Mikro 3 FSKTM (60);10;0;LINK
WIC3006 - MOBILE COMPUTING;1M;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 4:00 PM - 5:00 PM;BRYAN RAJ A/L PETER JABARAJ;Makmal Mikro 1 FSKTM (50);10;0;LINK
WIC3007 - PRINCIPLES OF DISTRIBUTED SYSTEMS;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;LIEW CHEE SUN;Makmal Mikro 4 FSKTM (60);50;21;LINK
WIC3007 - PRINCIPLES OF DISTRIBUTED SYSTEMS;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 3:00 PM - 4:00 PM;LIEW CHEE SUN;Makmal Mikro 1 FSKTM (50);50;21;LINK
WIC3008 - MICROPROCESSOR;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 1:00 PM - 3:00 PM;EMRAN BIN MOHD TAMIL;Makmal Mikro 3 FSKTM (60);40;22;LINK
WIC3008 - MICROPROCESSOR;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 10:00 AM - 11:00 AM;EMRAN BIN MOHD TAMIL;Makmal Stroustrup FSKTM (30);40;22;LINK
WID2001 - KNOWLEDGE REPRESENTATION AND REASONING;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 2:00 PM - 3:00 PM;SITI SORAYA BINTI ABDUL RAHMAN;Bilik Kuliah 2 FSKTM (50);40;10;LINK
WID2001 - KNOWLEDGE REPRESENTATION AND REASONING;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 2:00 PM - 4:00 PM;SITI SORAYA BINTI ABDUL RAHMAN;Dewan Kuliah 2 FSKTM (280);40;10;LINK
WID2001 - KNOWLEDGE REPRESENTATION AND REASONING;1RL;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 4:00 PM - 5:00 PM;SITI SORAYA BINTI ABDUL RAHMAN;N/A;5;0;LINK
WID2001 - KNOWLEDGE REPRESENTATION AND REASONING;1RL;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 2:00 PM - 4:00 PM;SITI SORAYA BINTI ABDUL RAHMAN;N/A;5;0;LINK
WID2001 - KNOWLEDGE REPRESENTATION AND REASONING;2;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 4:00 PM - 5:00 PM;SITI SORAYA BINTI ABDUL RAHMAN;Bilik Kuliah FSKTM (75);60;13;LINK
WID2001 - KNOWLEDGE REPRESENTATION AND REASONING;2;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 2:00 PM - 4:00 PM;SITI SORAYA BINTI ABDUL RAHMAN;Dewan Kuliah 2 FSKTM (280);60;13;LINK
WID2002 - COMPUTING MATHS II;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 10:00 AM - 11:00 AM;SAW SHIER NEE;Bilik Kuliah FSKTM (75);50;8;LINK
WID2002 - COMPUTING MATHS II;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 3:00 PM - 5:00 PM;SAW SHIER NEE;Dewan Kuliah 1 FSKTM (280);50;8;LINK
WID2002 - COMPUTING MATHS II;1RL;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 1:00 PM - 2:00 PM;SAW SHIER NEE;N/A;5;0;LINK
WID2002 - COMPUTING MATHS II;1RL;ONLINE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 3:00 PM - 5:00 PM;SAW SHIER NEE;N/A;5;0;LINK
WID2002 - COMPUTING MATHS II;2;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 1:00 PM - 2:00 PM;SAW SHIER NEE;Bilik Kuliah FSKTM (75);50;9;LINK
WID2002 - COMPUTING MATHS II;2;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 3:00 PM - 5:00 PM;SAW SHIER NEE;Dewan Kuliah 1 FSKTM (280);50;9;LINK
WID2003 - COGNITIVE SCIENCE;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 11:00 AM - 12:00 PM;ERMA RAHAYU BINTI MOHD FAIZAL ABDULLAH;Bilik Kuliah FSKTM (75);50;4;LINK
WID2003 - COGNITIVE SCIENCE;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 11:00 AM - 1:00 PM;ERMA RAHAYU BINTI MOHD FAIZAL ABDULLAH;Dewan Kuliah 2 FSKTM (280);50;4;LINK
