sep = ;
Module;Occurance;Activity;Week;Day;Module Tutor;Room;Target;Actual;Pro Forma
WIA1002 - DATA STRUCTURE;7;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 1:00 PM - 3:00 PM;NURUL BINTI JAPAR;Dewan Kuliah 2 FSKTM (280);45;0;LINK
WIA1002 - DATA STRUCTURE;8;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 11:00 AM - 2:00 PM;HOO WAI LAM;Makmal Mikro 4 FSKTM (60);60;0;LINK
WIA1002 - DATA STRUCTURE;8;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 1:00 PM - 3:00 PM;NURUL BINTI JAPAR;Dewan Kuliah 2 FSKTM (280);60;0;LINK
WIA1002 - DATA STRUCTURE;9;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 3:00 PM - 6:00 PM;LIEW CHEE SUN;Makmal Lanjutan FSKTM (33);30;0;LINK
WIA1002 - DATA STRUCTURE;9;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 1:00 PM - 3:00 PM;NURUL BINTI JAPAR;Dewan Kuliah 2 FSKTM (280);30;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 12:00 PM - 1:00 PM;MOHD YAMANI IDNA BIN IDRIS;Makmal Mikro 4 FSKTM (60);60;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;MOHD YAMANI IDNA BIN IDRIS;Dewan Kuliah 1 FSKTM (280);60;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;10;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 5:00 PM - 6:00 PM;Burhan Khan;Makmal Mikro 1 FSKTM (50);50;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;10;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;BRYAN RAJ A/L PETER JABARAJ;Dewan Kuliah 2 FSKTM (280);50;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;2;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 2:00 PM - 3:00 PM;Burhan Khan;Makmal Lanjutan FSKTM (33);33;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;2;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;MOHD YAMANI IDNA BIN IDRIS;Dewan Kuliah 1 FSKTM (280);33;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;3;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 1:00 PM - 2:00 PM;EMRAN BIN MOHD TAMIL;Makmal Mikro 1 FSKTM (50);50;1;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;3;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;MOHD YAMANI IDNA BIN IDRIS;Dewan Kuliah 1 FSKTM (280);50;1;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;4;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 1:00 PM - 2:00 PM;MOHD YAMANI IDNA BIN IDRIS;Makmal Mikro 4 FSKTM (60);60;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;4;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;MOHD YAMANI IDNA BIN IDRIS;Dewan Kuliah 1 FSKTM (280);60;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;5;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 1:00 PM - 2:00 PM;EMRAN BIN MOHD TAMIL;Makmal Stroustrup FSKTM (30);40;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;5;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;MOHD YAMANI IDNA BIN IDRIS;Dewan Kuliah 1 FSKTM (280);40;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;6;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 1:00 PM - 2:00 PM;BRYAN RAJ A/L PETER JABARAJ;Makmal Mikro 3 FSKTM (60);60;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;6;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;BRYAN RAJ A/L PETER JABARAJ;Dewan Kuliah 2 FSKTM (280);60;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;7;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 3:00 PM - 4:00 PM;EMRAN BIN MOHD TAMIL;Makmal Stroustrup FSKTM (30);30;0;LINK
